name,severity,project_name,url,parameter,evidence,cwe_id,has_evidence
Cookie Without HttpOnly Flag,Medium,sample-blog-platform,https://sample-blog-platform.example-test.local/page0,id,payload triggered anomalous response (sample #0),200,1
Directory Browsing Enabled,Low,owasp juice shop,https://owasp-juice-shop.example-test.local/page1,id,payload triggered anomalous response (sample #1),200,1
Missing X-XSS-Protection Header,Low,demo-corp-site,https://demo-corp-site.example-test.local/page2,,,693,0
Format String Error,Low,example-saas-app,https://example-saas-app.example-test.local/page3,,payload triggered anomalous response (sample #3),79,1
Missing Anti-clickjacking Header,Low,dvwa,https://dvwa.example-test.local/page4,q,,693,0
Missing X-XSS-Protection Header,High,bwapp,https://bwapp.example-test.local/page5,search,,693,0
SQL Injection - MySQL,Low,owasp juice shop,https://owasp-juice-shop.example-test.local/page6,,payload triggered anomalous response (sample #6),89,1
Missing HSTS Header,High,vulnerable app demo,https://vulnerable-app-demo.example-test.local/page7,,payload triggered anomalous response (sample #7),693,1
Cookie Without Secure Flag,Low,bwapp,https://bwapp.example-test.local/page8,id,,200,0
Directory Browsing Enabled,Informational,sample-blog-platform,https://sample-blog-platform.example-test.local/page9,,,200,0
Missing HSTS Header,Low,example-saas-app,https://example-saas-app.example-test.local/page10,search,,693,0
SQL Injection - MySQL,Low,sample-blog-platform,https://sample-blog-platform.example-test.local/page11,,payload triggered anomalous response (sample #11),89,1
Cookie Without HttpOnly Flag,Low,acme-webapp,https://acme-webapp.example-test.local/page12,name,payload triggered anomalous response (sample #12),200,1
SQL Injection - MySQL (time based),Low,acme-webapp,https://acme-webapp.example-test.local/page13,,payload triggered anomalous response (sample #13),89,1
Insecure HTTP Method Enabled,Informational,dvwa,https://dvwa.example-test.local/page14,name,,200,0
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",Medium,sample-blog-platform,https://sample-blog-platform.example-test.local/page15,,,693,0
Cross Site Scripting (DOM Based),Medium,acme-webapp,https://acme-webapp.example-test.local/page16,,payload triggered anomalous response (sample #16),79,1
Format String Error,Informational,example-saas-app,https://example-saas-app.example-test.local/page17,name,payload triggered anomalous response (sample #17),79,1
SQL Injection - MySQL,Low,acme-webapp,https://acme-webapp.example-test.local/page18,id,payload triggered anomalous response (sample #18),89,1
Insecure HTTP Method Enabled,Medium,demo-corp-site,https://demo-corp-site.example-test.local/page19,,payload triggered anomalous response (sample #19),200,1
Cross Site Scripting (Reflected),Medium,example-saas-app,https://example-saas-app.example-test.local/page0,name,payload triggered anomalous response (sample #20),79,1
XSLT Injection,Low,demo-corp-site,https://demo-corp-site.example-test.local/page1,id,payload triggered anomalous response (sample #21),79,1
Directory Browsing Enabled,Low,bwapp,https://bwapp.example-test.local/page2,search,,200,0
Cross Site Scripting (Reflected),Informational,demo-corp-site,https://demo-corp-site.example-test.local/page3,,payload triggered anomalous response (sample #23),79,1
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",Low,dvwa,https://dvwa.example-test.local/page4,,payload triggered anomalous response (sample #24),693,1
Permissive CORS Policy,Medium,dvwa,https://dvwa.example-test.local/page5,,,693,0
Insecure HTTP Method Enabled,Low,owasp juice shop,https://owasp-juice-shop.example-test.local/page6,id,,200,0
SQL Injection - MySQL,Medium,bwapp,https://bwapp.example-test.local/page7,q,payload triggered anomalous response (sample #27),89,1
Session ID in URL Rewrite,Low,owasp juice shop,https://owasp-juice-shop.example-test.local/page8,,payload triggered anomalous response (sample #28),79,1
Strict-Transport-Security Header Not Set,High,dvwa,https://dvwa.example-test.local/page9,,,693,0
Missing X-Frame-Options Header,Informational,example-saas-app,https://example-saas-app.example-test.local/page10,,,693,0
Information Disclosure - Debug Error Messages,Medium,bwapp,https://bwapp.example-test.local/page11,search,,200,0
Cross Site Scripting (DOM Based),High,vulnerable app demo,https://vulnerable-app-demo.example-test.local/page12,q,payload triggered anomalous response (sample #32),79,1
Strict-Transport-Security Header Not Set,Low,acme-webapp,https://acme-webapp.example-test.local/page13,,payload triggered anomalous response (sample #33),693,1
Cookie Without HttpOnly Flag,Informational,demo-corp-site,https://demo-corp-site.example-test.local/page14,id,,200,0
XSLT Injection,Medium,example-saas-app,https://example-saas-app.example-test.local/page15,q,payload triggered anomalous response (sample #35),79,1
Information Disclosure - Debug Error Messages,Medium,vulnerable app demo,https://vulnerable-app-demo.example-test.local/page16,name,,200,0
Missing X-XSS-Protection Header,Medium,example-saas-app,https://example-saas-app.example-test.local/page17,,,693,0
Information Disclosure - Debug Error Messages,High,demo-corp-site,https://demo-corp-site.example-test.local/page18,,,200,0
Missing HSTS Header,Low,acme-webapp,https://acme-webapp.example-test.local/page19,q,payload triggered anomalous response (sample #39),693,1
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",Low,demo-corp-site,https://demo-corp-site.example-test.local/page0,,,693,0
Missing HSTS Header,Informational,demo-corp-site,https://demo-corp-site.example-test.local/page1,,,693,0
