id,uuid,target_url,status,scan_type,is_baseline,created_at
4,734995e2-e71d-40ee-9e43-673b9c28b5dc,https://juice-shop.herokuapp.com/,completed,active,False,2025-11-22T19:48:31.975195+00:00
5,c7d35a4a-bb2a-4b68-8c58-0b85599d15be,https://demo.testfire.net/,completed,active,False,2025-11-22T20:36:15.636706+00:00
6,995e9e0e-78f3-48c2-a782-914685b752c2,http://testphp.vulnweb.com,completed,active,False,2025-11-22T21:13:18.471924+00:00
7,bf2eb492-ce02-4b53-afb0-09e81de65058,http://www.itsecgames.com,completed,active,False,2025-11-23T05:07:05.853764+00:00
8,0f4bfb04-18b4-43e0-a038-636796522770,https://portswigger.net/web-security,running,active,False,2025-11-23T05:23:04.704388+00:00
9,094cf481-634d-4d41-8423-55f0e6a74828,https://juice-shop.herokuapp.com,completed,active,False,2025-11-24T06:51:36.276324+00:00
10,64cd2c94-8ff2-4fbf-a4f5-16541c4253ba,https://demo.testfire.net/,completed,active,False,2025-11-24T07:50:20.409522+00:00
11,4d741e00-3b2c-4b1a-be81-bcd99d289e30,http://testphp.vulnweb.com,completed,active,False,2025-11-24T08:35:54.778159+00:00
12,cfeb7cbb-b889-4b0c-a7d2-46d2ff56f1a4,http://www.itsecgames.com,completed,active,False,2025-11-24T08:59:58.943039+00:00
13,fd5f7d76-05d1-4596-aa81-c875887c2e31,https://portswigger.net/web-security,stopped,active,False,2025-11-24T09:30:05.577572+00:00
14,a1b6821a-4b49-4428-85e9-01b98f45d88a,http://zero.webappsecurity.com,stopped,active,False,2025-11-24T12:24:58.772568+00:00
15,40ebf764-219e-4fce-82fa-c3286ced9bf3,http://zero.webappsecurity.com,completed,active,False,2025-11-24T12:34:14.605501+00:00
16,425d3bbb-09cf-4aa3-9dd4-ecda8c699644,https://public-firing-range.appspot.com,completed,active,False,2025-11-24T12:50:02.986836+00:00
17,8a6b6707-52fd-49c9-8e68-1932e659878c,http://testhtml5.vulnweb.com,completed,active,False,2025-11-24T14:23:12.286178+00:00
18,89c93103-aafd-42aa-90f5-75be88f0f34c,https://portswigger.net/web-security,completed,active,False,2025-11-24T20:07:53.460051+00:00
