id,scan_id,name,severity,confidence,url,parameter,description,is_false_positive,ml_confidence,created_at
1,1,missing_security_header,medium,1.0,https://www.infinitywaveinc.com/,,Add X-Content-Type-Options header for better security,,,2025-11-22T18:32:35.533000+00:00
2,2,missing_security_header,medium,1.0,https://www.infinitywaveinc.com/,,Add X-Content-Type-Options header for better security,,,2025-11-22T19:22:53.513303+00:00
3,3,missing_security_header,medium,1.0,https://rancherscafe.com/,,Add Strict-Transport-Security header for better security,,,2025-11-22T19:25:05.454801+00:00
4,3,information_disclosure,low,1.0,https://rancherscafe.com/,,Error messages or stack traces: 4 instances found,,,2025-11-22T19:25:05.466711+00:00
5,3,Missing Anti-clickjacking Header,medium,0.7,https://www.rancherscafe.com,x-frame-options,The response does not protect against 'ClickJacking' attacks. It should include either Content-Security-Policy with 'frame-ancestors' directive or X-Frame-Options.,,,2025-11-22T19:34:23.622060+00:00
6,3,Content Security Policy (CSP) Header Not Set,medium,0.9,https://www.rancherscafe.com,,"Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.",,,2025-11-22T19:34:23.626043+00:00
7,3,Modern Web Application,info,0.7,https://www.rancherscafe.com,,The application appears to be a modern web application. If you need to explore it automatically then the Ajax Spider may well be more effective than the standard one.,,,2025-11-22T19:34:23.629871+00:00
8,3,Strict-Transport-Security Header Not Set,low,0.9,https://www.rancherscafe.com,,HTTP Strict Transport Security (HSTS) is a web security policy mechanism whereby a web server declares that complying user agents (such as a web browser) are to interact with it using only secure HTTPS connections (i.e. HTTP layered over TLS/SSL). HSTS is an IETF standards track protocol and is specified in RFC 6797.,,,2025-11-22T19:34:23.634144+00:00
9,3,X-Content-Type-Options Header Missing,low,0.7,https://www.rancherscafe.com,x-content-type-options,"The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows older versions of Internet Explorer and Chrome to perform MIME-sniffing on the response body, potentially causing the response body to be interpreted and displayed as a content type other than the declared content type. Current (early 2014) and legacy versions of Firefox will use the declared content type (if one is set), rather than performing MIME-sniffing.",,,2025-11-22T19:34:23.639358+00:00
10,3,"Server Leaks Information via ""X-Powered-By"" HTTP Response Header Field(s)",low,0.7,https://www.rancherscafe.com,,"The web/application server is leaking information via one or more ""X-Powered-By"" HTTP response headers. Access to such information may facilitate attackers identifying other frameworks/components your web application is reliant upon and the vulnerabilities such components may be subject to.",,,2025-11-22T19:34:23.645017+00:00
